Date,source_node,target_node,source_sns,target_sns,Source,Target,PA
2021-08-05,Node_88fcf1df,Node_d79a0f32,TG,TG,TG__146,TG__1008789,
2021-01-22,Node_639d7cdb,Node_5e66cdb3,Rumble,Bitchute,Rumble__7,Bitchute__29,
2021-01-24,Node_dd8534e3,Node_5e66cdb3,Rumble,Bitchute,Rumble__47,Bitchute__29,
2020-12-01,Node_ce6b0977,Node_30ed85c2,Bitchute,Bitchute,Bitchute__50,Bitchute__1000138,
2020-12-01,Node_ce6b0977,Node_5e66cdb3,Bitchute,Bitchute,Bitchute__50,Bitchute__29,
2025-01-03,Node_5e66cdb3,Node_5e66cdb3,Bitchute,Bitchute,Bitchute__29,Bitchute__29,PA
2021-01-13,Node_30ed85c2,Node_854b86cc,TG,Gab,TG__482,Gab__1004568,PA
2021-10-26,Node_30ed85c2,Node_21345e53,TG,TG,TG__482,TG__1001447,PA
2023-01-16,Node_30ed85c2,Node_5e66cdb3,TG,TG,TG__482,TG__500,PA
2021-11-29,Node_30ed85c2,Node_30ed85c2,TG,TG,TG__482,TG__482,PA
2023-12-24,Node_30ed85c2,Node_5e66cdb3,TG,TG,TG__482,TG__500,PA
2023-05-07,Node_30ed85c2,Node_5e66cdb3,TG,TG,TG__482,TG__500,PA
2023-04-25,Node_30ed85c2,Node_79604ecf,TG,TG,TG__482,TG__1006402,PA
2023-06-07,Node_30ed85c2,Node_73980c34,TG,TG,TG__482,TG__1006403,PA
2022-03-20,Node_30ed85c2,Node_e3f8b349,TG,TG,TG__482,TG__1001782,PA
2021-03-22,Node_30ed85c2,Node_e3e7ab35,TG,TG,TG__482,TG__313,PA
2023-08-10,Node_30ed85c2,Node_e3e7ab35,TG,TG,TG__482,TG__313,PA
2023-01-16,Node_30ed85c2,Node_ea45b86f,TG,TG,TG__482,TG__1004281,PA
2022-02-22,Node_30ed85c2,Node_5e66cdb3,TG,TG,TG__482,TG__500,PA
2023-06-22,Node_5e66cdb3,Node_5e66cdb3,Bitchute,TG,Bitchute__29,TG__500,PA
2023-01-21,Node_30ed85c2,Node_5e66cdb3,TG,TG,TG__482,TG__500,PA
2021-08-05,Node_f47a648a,Node_d79a0f32,TG,TG,TG__74,TG__1008789,
2023-11-11,Node_30ed85c2,Node_5e66cdb3,TG,TG,TG__482,TG__500,PA
2024-01-02,Node_30ed85c2,Node_5e66cdb3,TG,TG,TG__482,TG__500,PA
2023-04-30,Node_30ed85c2,Node_4330ae55,TG,TG,TG__482,TG__1004167,PA
2023-09-04,Node_30ed85c2,Node_e3e7ab35,TG,TG,TG__482,TG__313,PA
2022-02-13,Node_30ed85c2,Node_e3f8b349,TG,TG,TG__482,TG__1001782,PA
2020-08-10,Node_30ed85c2,Node_30ed85c2,TG,TG,TG__482,TG__482,PA
2023-04-30,Node_30ed85c2,Node_5e66cdb3,TG,TG,TG__482,TG__500,PA
2021-04-09,Node_30ed85c2,Node_5e66cdb3,TG,Bitchute,TG__482,Bitchute__29,PA
2021-07-16,Node_30ed85c2,Node_5e66cdb3,TG,Bitchute,TG__482,Bitchute__29,PA
2021-02-05,Node_30ed85c2,Node_5e66cdb3,TG,Bitchute,TG__482,Bitchute__29,PA
2021-11-05,Node_30ed85c2,Node_5e66cdb3,TG,Bitchute,TG__482,Bitchute__29,PA
2021-08-12,Node_30ed85c2,Node_5e66cdb3,TG,Bitchute,TG__482,Bitchute__29,PA
2020-02-02,Node_30ed85c2,Node_30ed85c2,TG,Bitchute,TG__482,Bitchute__1000138,PA
2020-07-17,Node_30ed85c2,Node_5e66cdb3,TG,Bitchute,TG__482,Bitchute__29,PA
2021-02-14,Node_ed39471a,Node_5e66cdb3,TG,Bitchute,TG__299,Bitchute__29,
2020-09-05,Node_d873e540,Node_5e66cdb3,TG,Bitchute,TG__157,Bitchute__29,
2020-03-08,Node_30ed85c2,Node_30ed85c2,TG,Bitchute,TG__482,Bitchute__1000138,PA
2022-05-06,Node_30ed85c2,Node_5e66cdb3,TG,Bitchute,TG__482,Bitchute__29,PA
2021-11-11,Node_30ed85c2,Node_ea45b86f,TG,Odysee,TG__482,Odysee__1000503,PA
2021-07-20,Node_30ed85c2,Node_30ed85c2,TG,Odysee,TG__482,Odysee__1000416,PA
2021-03-27,Node_ed39471a,Node_5e66cdb3,TG,Odysee,TG__299,Odysee__1000237,
2022-04-24,Node_30ed85c2,Node_5e66cdb3,TG,Odysee,TG__482,Odysee__1000237,PA
