Id,Label,SNS,PA,lat,lng
TG__146,Anon_88fcf1df,TG,,53.562336,-20.691347
Rumble__7,Anon_639d7cdb,Rumble,,53.562336,-20.691347
Rumble__47,Anon_dd8534e3,Rumble,,53.562336,-20.691347
Bitchute__50,Anon_ce6b0977,Bitchute,,53.562336,-20.691347
Bitchute__29,Anon_5e66cdb3,Bitchute,PA,53.666612,-13.222169
TG__482,Anon_30ed85c2,TG,PA,53.666612,-13.222169
TG__74,Anon_f47a648a,TG,,53.562336,-20.691347
TG__299,Anon_ed39471a,TG,,53.562336,-20.691347
TG__157,Anon_d873e540,TG,,53.562336,-20.691347
Gab__113,Anon_1bb45284,Gab,,53.562336,-20.691347
TG__220,Anon_0c202018,TG,,53.562336,-20.691347
TG__154,Anon_e13fa598,TG,,53.562336,-20.691347
Bitchute__31,Anon_71e7b6e0,Bitchute,,53.562336,-20.691347
Bitchute__39,Anon_de0942e4,Bitchute,,53.562336,-20.691347
TG__190,Anon_16536946,TG,,53.562336,-20.691347
TG__199,Anon_fdfb68ac,TG,,53.562336,-20.691347
TG__140,Anon_134de7da,TG,,53.562336,-20.691347
Bitchute__152,Anon_4e2156a9,Bitchute,,53.562336,-20.691347
Twitter__3,Anon_fbdb92a8,Twitter,,53.562336,-20.691347
TG__502,Anon_f4b2b357,TG,,53.562336,-20.691347
TG__277,Anon_1d7d58c1,TG,,53.562336,-20.691347
Gab__33,Anon_73605f45,Gab,,53.562336,-20.691347
TG__280,Anon_43732c9d,TG,,53.562336,-20.691347
TG__123,Anon_16ac7c31,TG,,53.562336,-20.691347
YouTube__60,Anon_7899ba5d,YouTube,,53.562336,-20.691347
TG__98,Anon_16d25abf,TG,,53.562336,-20.691347
TG__27,Anon_d3e1a926,TG,,53.562336,-20.691347
TG__222,Anon_f384aa40,TG,,53.562336,-20.691347
Gab__18,Anon_d496eec0,Gab,,53.562336,-20.691347
Gab__95,Anon_0c4ae790,Gab,,53.562336,-20.691347
Bitchute__110,Anon_6d8ae659,Bitchute,,53.562336,-20.691347
TG__21,Anon_8d54b147,TG,,53.562336,-20.691347
TG__64,Anon_477db670,TG,,53.562336,-20.691347
TG__122,Anon_665af973,TG,,53.562336,-20.691347
TG__278,Anon_776147a1,TG,,53.562336,-20.691347
TG__343,Anon_edf90de8,TG,,53.562336,-20.691347
Gab__61,Anon_0110b7c0,Gab,,53.562336,-20.691347
Gab__15,Anon_85f0cbc3,Gab,,53.562336,-20.691347
Bitchute__26,Anon_ab21f2a3,Bitchute,,53.562336,-20.691347
Twitter__34,Anon_ca0c4f4b,Twitter,,53.562336,-20.691347
TG__147,Anon_1204d73d,TG,,53.562336,-20.691347
Twitter__35,Anon_6fa3afd5,Twitter,,53.562336,-20.691347
TG__240,Anon_37fadf05,TG,,53.562336,-20.691347
Gab__55,Anon_87207955,Gab,,53.562336,-20.691347
Bitchute__2,Anon_d053572b,Bitchute,,53.562336,-20.691347
TG__436,Anon_5a46d36d,TG,,53.562336,-20.691347
Rumble__8,Anon_fecf1c9b,Rumble,,53.562336,-20.691347
Bitchute__89,Anon_7588353b,Bitchute,,53.562336,-20.691347
TG__444,Anon_0fdd4673,TG,,53.562336,-20.691347
Gab__129,Anon_a1c30670,Gab,,53.562336,-20.691347
Gab__435,Anon_aa4f2902,Gab,,53.562336,-20.691347
TG__70,Anon_10e977b0,TG,,53.562336,-20.691347
Bitchute__101,Anon_97a99a10,Bitchute,,53.562336,-20.691347
Bitchute__44,Anon_f4925d78,Bitchute,,53.562336,-20.691347
TG__404,Anon_8d6e9892,TG,,53.562336,-20.691347
Gab__10,Anon_9f50e6d3,Gab,,53.562336,-20.691347
TG__300,Anon_47e05a03,TG,,53.562336,-20.691347
TG__313,Anon_e3e7ab35,TG,PA,53.666612,-13.222169
TG__322,Anon_40e4357e,TG,,53.562336,-20.691347
TG__500,Anon_5e66cdb3,TG,PA,53.666612,-13.222169
Gab__5,Anon_427d5b30,Gab,,53.562336,-20.691347
Gab__56,Anon_398faf13,Gab,,53.562336,-20.691347
Gab__20,Anon_24915fb5,Gab,,53.562336,-20.691347
TG__497,Anon_6d8ae659,TG,,53.562336,-20.691347
Gab__97,Anon_69d2eea8,Gab,,53.562336,-20.691347
TG__499,Anon_2e755024,TG,,53.562336,-20.691347
TG__84,Anon_0db5e598,TG,,53.562336,-20.691347
TG__259,Anon_43f48a59,TG,,53.562336,-20.691347
