Day,Religion hate,Race hate,Gender hate,GISO hate,Immigration hate,EIN hate,Antisemitism
2020-11-01,2656,13468,2510,8183,762,6110,6747
2020-11-02,3114,15104,2911,9718,894,6926,8360
2020-11-03,3044,18501,2555,12173,979,8086,9240
2020-11-04,1317,20649,2022,13554,1326,7835,8713
2020-11-05,1068,14501,1573,10014,858,5280,6328
2020-11-06,1747,21210,2600,17122,1033,7397,9542
2020-11-07,1520,19944,2382,16573,909,7201,10076
2020-11-08,1981,22117,2725,14995,1218,7913,10617
2020-11-09,1620,18026,2436,12673,804,6214,10258
2020-11-10,1972,16781,3972,15175,713,6784,9754
2020-11-11,1811,14660,4164,16155,626,5841,7981
2020-11-12,2137,15090,3861,13985,728,6104,8618
2020-11-13,2351,15180,3906,14029,788,6139,8187
2020-11-14,1697,16321,3309,12000,739,6173,8415
2020-11-15,1088,10309,2142,7592,475,3968,5290
2020-11-16,1577,16868,3332,11117,768,6881,8233
2020-11-17,2130,16988,3459,11772,739,7091,8218
2020-11-18,2221,16342,3250,11261,861,6531,9213
2020-11-19,1977,15306,3354,11088,895,6790,7818
2020-11-20,1705,15168,3123,11859,675,6017,8049
2020-11-21,1772,14287,2905,10815,780,6446,8335
2020-11-22,1791,13465,2879,9396,639,5615,7781
2020-11-23,1919,14052,2875,10272,654,5629,8753
2020-11-24,1817,14942,2577,9857,777,6057,8456
2020-11-25,1831,14293,2563,9669,688,5742,8282
2020-11-26,2297,14753,2970,9427,662,5979,9057
2020-11-27,1974,13443,2656,8861,659,5896,8239
2020-11-28,1765,13670,2668,9131,703,6046,8476
2020-11-29,1510,13888,2942,9513,638,5648,7336
2020-11-30,1902,14417,2809,9741,690,6496,8027
2020-12-01,1966,13842,3099,10230,557,6041,7431
2020-12-02,1839,13886,3170,10723,773,5965,8112
2020-12-03,1772,15106,3009,9833,634,5995,8015
2020-12-04,1742,13843,2787,9227,617,5750,8758
2020-12-05,1778,13978,2472,8683,604,6068,8508
2020-12-06,1949,13148,2521,8014,676,6196,8363
2020-12-07,1703,12729,2943,9484,647,5938,8400
2020-12-08,1796,13320,2614,9535,516,5379,8277
2020-12-09,2264,14012,2503,9651,632,6360,8519
2020-12-10,1972,14080,2445,8953,588,5913,8738
2020-12-11,2066,15358,2229,8739,728,6650,8656
2020-12-12,1855,14313,2318,9394,656,6186,8527
2020-12-13,2000,13876,2583,8635,659,6350,8385
2020-12-14,1430,13441,2754,9454,593,5416,8245
2020-12-15,1814,15943,3079,10021,672,6925,8786
2020-12-16,1735,14049,2697,9073,649,6148,7954
2020-12-17,1368,14825,2558,8207,659,6875,8041
2020-12-18,1715,12517,2586,8344,528,5492,8297
2020-12-19,1927,12663,2492,7321,545,5720,8655
2020-12-20,1706,13139,2496,7328,653,5886,8101
2020-12-21,1596,14036,2637,7590,623,5627,8360
2020-12-22,1527,13310,2535,7476,539,5580,9646
2020-12-23,1983,14062,2569,7841,517,5921,9513
2020-12-24,1717,13320,2106,7280,600,5502,8377
2020-12-25,2434,11969,1912,6346,449,5122,7490
2020-12-26,2141,12627,2633,7186,555,6157,8014
2020-12-27,1778,14174,2527,7403,641,5986,8240
2020-12-28,1711,13107,2435,7807,579,5661,8209
2020-12-29,2059,12838,2550,7973,560,5965,8160
2020-12-30,2093,13825,2614,8349,696,5847,8422
2020-12-31,1987,13683,2118,7235,661,6016,8142
2021-01-01,1657,12727,2098,7109,636,5970,8357
2021-01-02,1795,13237,2656,6911,550,6231,9020
2021-01-03,1904,12496,2237,7732,593,6021,7126
2021-01-04,2523,13342,2705,8756,518,5453,8750
2021-01-05,1991,13381,2531,8461,571,5807,8666
2021-01-06,1707,19152,2602,12052,766,6472,9472
2021-01-07,1876,22707,3055,13988,716,6746,11711
2021-01-08,2092,16494,2633,12553,724,5977,10670
2021-01-09,1757,15475,2070,11556,686,6601,9579
