Day,Source,Target,SNS Source,SNS Target
2021-01-09,4Chan__1,YouTube__47,4Chan,YouTube
2021-01-09,4Chan__1,YouTube__55,4Chan,YouTube
2021-01-07,4Chan__1,YouTube__28,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__15,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__42,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2021-01-06,4Chan__1,YouTube__4,4Chan,YouTube
2020-11-04,Gab__10,YouTube__15,Gab,YouTube
2020-12-02,4Chan__1,YouTube__23,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__23,4Chan,YouTube
2021-01-10,4Chan__1,YouTube__48,4Chan,YouTube
2021-01-07,4Chan__1,YouTube__14,4Chan,YouTube
2021-01-07,4Chan__1,YouTube__25,4Chan,YouTube
2021-01-10,4Chan__1,YouTube__42,4Chan,YouTube
2021-01-08,4Chan__1,YouTube__16,4Chan,YouTube
2021-01-08,4Chan__1,YouTube__16,4Chan,YouTube
2020-12-02,Gab__30,YouTube__1,Gab,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-03,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__48,4Chan,YouTube
2020-12-05,4Chan__1,YouTube__23,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__10,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__21,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__21,4Chan,YouTube
2020-12-01,4Chan__1,YouTube__15,4Chan,YouTube
2020-12-01,4Chan__1,YouTube__15,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2021-01-07,4Chan__1,YouTube__1,4Chan,YouTube
2021-01-09,4Chan__1,YouTube__16,4Chan,YouTube
2021-01-09,4Chan__1,YouTube__16,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__48,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__23,4Chan,YouTube
2021-01-08,4Chan__1,YouTube__16,4Chan,YouTube
2021-01-08,4Chan__1,YouTube__50,4Chan,YouTube
2020-12-31,4Chan__1,YouTube__38,4Chan,YouTube
2020-12-05,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-03,4Chan__1,YouTube__1,4Chan,YouTube
2020-11-25,4Chan__1,YouTube__42,4Chan,YouTube
2020-12-05,Gab__30,YouTube__15,Gab,YouTube
2021-01-07,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2021-01-07,Gab__10,YouTube__48,Gab,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__42,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__42,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__42,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__42,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__42,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__42,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__30,4Chan,YouTube
2020-12-01,4Chan__1,YouTube__29,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-04,Gab__30,YouTube__15,Gab,YouTube
2020-12-05,4Chan__1,YouTube__29,4Chan,YouTube
2020-12-01,4Chan__1,YouTube__23,4Chan,YouTube
2020-12-01,4Chan__1,YouTube__23,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__7,4Chan,YouTube
2020-12-02,Gab__30,YouTube__1,Gab,YouTube
2020-12-04,4Chan__1,YouTube__23,4Chan,YouTube
2020-11-30,4Chan__1,YouTube__30,4Chan,YouTube
2021-01-10,YouTube__61,YouTube__44,YouTube,YouTube
2021-01-09,Gab__57,Rumble__46,Gab,Rumble
2021-01-09,Gab__439,Rumble__31,Gab,Rumble
2021-01-09,Gab__57,Rumble__12,Gab,Rumble
2020-11-18,Rumble__80,Rumble__80,Rumble,Rumble
2020-11-08,FB__191,FB__191,FB,FB
2020-11-06,TG__52,4Chan__1,TG,4Chan
2020-11-30,Gab__30,YouTube__15,Gab,YouTube
2020-12-02,4Chan__1,YouTube__23,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__23,4Chan,YouTube
2021-01-07,4Chan__1,YouTube__1,4Chan,YouTube
2020-12-02,4Chan__1,YouTube__1,4Chan,YouTube
2021-01-07,4Chan__1,YouTube__14,4Chan,YouTube
2020-11-30,Gab__284,YouTube__60,Gab,YouTube
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
